Immatriculation,Titre courant de l'œuvre,Légende,Département,Commune,Lieu-dit,Adresse,Sujet,Nom du fichier,Année de la photo,Catégorie,Mot-clé,Auteur doc. reproduit,url_photo_small,url_photo_medium
IVR11_20107700387NUC4A,"Usine de matériel électrique industriel Schneider et Cie, puis Le Matériel Electrique Scheider-Westinghouse (SW), puis Jeumont-Schneider (JS), actuellement ensemble industriel appelé ""Espace Technologique et Industriel de Champagne-sur-Seine"" (zone ETIC)","Ateliers sud, occupés par le carrossier-constructeur Mecagil-Lebon. Champagne-sur-Seine. Usine de matériel électrique industriel Schneider et Cie, puis Le Matériel Electrique Scheider-Westinghouse (SW), puis Jeumont-Schneider (JS), actuellement ensemble industriel appelé ""Espace Technologique et Industriel de Champagne-sur-Seine"" (zone ETIC)",77.0,Champagne-sur-Seine,,rue du Général-de-Gaulle ;  rue d' Alsace ;  rue d' Aqueduc ;  rue d' Bourgogne ;  rue de Bretagne,,IVR11_20107700387NUC4A.jpg,2010.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4c7d7ce30000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4c7d7ce30000000000000000_MEDIUM.jpg
IVR11_20119500038Z,église Saint Maclou,"Vue du clocher et détail de la clôture de chapelle. Tiré de : Moniteur des Architectes, année 1896-1897. ( BNF, cabinet des estampes. topo Va 95 fol., t.8 Val d'Oise, B 16892)",95.0,Pontoise,,,,IVR11_20119500038Z.jpg,2011.0,,,"Sergent, René",https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60960000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60960000000000000000_MEDIUM.jpg
IVR11_20119500107Z,village,"Vue d'ensemble avec à droite le clocher de l'église. Gravure. ( BNF, cabinet des estampes. topo Va 95 fol., t.8 Val d'Oise, B 16240)",95.0,Jouy-le-Moutier,,,,IVR11_20119500107Z.jpg,2011.0,,,?,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60db0000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60db0000000000000000_MEDIUM.jpg
IVR11_20119500131NUC4A,,Vue du paysage depuis le belvédère de Jouy le moutier. Ville,95.0,Jouy-le-Moutier,,,,IVR11_20119500131NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60f30000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e60f30000000000000000_MEDIUM.jpg
IVR11_20119500376NUC4A,,?,95.0,Cergy,,xx,,IVR11_20119500376NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e61e80000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d1e61e80000000000000000_MEDIUM.jpg
IVR11_20119400312NUC4A,,Vue d'ensemble. Eglise paroissiale Notre-Dame,94.0,Valenton,,Oradour-Sur-Glane (place d'),,IVR11_20119400312NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d4740280000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d4740280000000000000000_MEDIUM.jpg
IVR11_20119300182NUC4A,,Blanchisserie ELIS,93.0,Pantin,,,,IVR11_20119300182NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d6c29a60000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4d6c29a60000000000000000_MEDIUM.jpg
IVR11_20117700498NUC4A,"Cité ouvrière du ""Nouveau Quartier""","Immeubles en meulière blanche, ancienne rue des écoles (actuelle rue Georges Clémenceau). Champagne-sur-Seine. Cité ouvrière du ""Nouveau Quartier""",77.0,Champagne-sur-Seine,,"2-24, 5 rue Georges-Clemenceau ; 12-14 rue Pasteur ; 4-8, 7-11 rue Jean-Jaurès ; 54-56, 55-57 rue de la Libération ; 1 place Henri-Schneider ;  angle de la rue de la Libération et de la rue du Merisier",,IVR11_20117700498NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb0d20000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb0d20000000000000000_MEDIUM.jpg
IVR11_20117700547NUC4A,"Champagne-sur-Seine - Lotissement concerté (maisons des employés et des ingénieurs) du ""Nouveau Quartier"", appelé ""Les Pavillons""","Porte de hangar cintrée en briques rouges. Lotissement concerté (maisons des employés et des ingénieurs) du ""Nouveau Quartier"", appelé ""Les Pavillons""",77.0,Champagne-sur-Seine,,"1-7 et 4-8 rue de la Libération ; 19-21 rue des Prés ; 1, 5-7, 9 rue Henri-Schneider ; 20 rue du Docteur-Mourier ; 32 rue Achille-Lez",,IVR11_20117700547NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1030000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1030000000000000000_MEDIUM.jpg
IVR11_20117700723NUC4A,"Usine de matériel électrique industriel Schneider et Cie, puis Le Matériel Electrique Scheider-Westinghouse (SW), puis Jeumont-Schneider (JS), actuellement ensemble industriel appelé ""Espace Technologique et Industriel de Champagne-sur-Seine"" (zone ETIC)","La tribune du stade Paul Hebras (1934). Champagne-sur-Seine. Usine de matériel électrique industriel Schneider et Cie, puis Le Matériel Electrique Scheider-Westinghouse (SW), puis Jeumont-Schneider (JS), actuellement ensemble industriel appelé ""Espace Technologique et Industriel de Champagne-sur-Seine"" (zone ETIC)",77.0,Champagne-sur-Seine,,rue du Général-de-Gaulle ;  rue d' Alsace ;  rue d' Aqueduc ;  rue d' Bourgogne ;  rue de Bretagne,,IVR11_20117700723NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1b30000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1b30000000000000000_MEDIUM.jpg
IVR11_20117700753NUC4A,"Écuelles - institut de recherche et laboratoire EDF ""Les Renardières""","Ensemble de quatre laboratoires d'essais classiques blancs de type Prouvé, département EMA (Etudes des Matériaux). Institut de recherche et laboratoire EDF ""Les Renardières""",77.0,Moret-Loing-et-Orvanne,,avenue des Renardières,,IVR11_20117700753NUC4A.jpg,2011.0,,,,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1d10000000000000000_SMALL.jpg,https://phototheque-patrimoine.iledefrance.fr/fs01/IEL01/355/f/4e5eb1d10000000000000000_MEDIUM.jpg
